Titlu,nume,judet,oras,adresa,longitudine,latitudine
TR-SPITALUL JUDETEAN ALEXANDRIA,Spitalul Judetean de Urgenta Alexandria,Judetul Teleorman,Municipiu Alexandria,"Strada Libertatii 1, 140009 Alexandria",25.3143922,43.9796366
TR-SPITALUL MUNICIPAL CARITAS ROSIORI DE VEDE,Spitalul Municipal Caritas,Judetul Teleorman,Municipiu Rosiori De Vede,"Strada Carpati 33, 145100 Rosiori de Vede",24.988285,44.1148708
TR-SPITALUL MUNICIPAL TURNU MAGURELE,Spitalul Municipal,Judetul Teleorman,Municipiu Turnu Magurele,"Strada Castanilor, 145200 Turnu Magurele",24.8686195,43.7438942
TR-SPITAL ZIMNICEA,Spitalul Orasenesc Zimnicea,Judetul Teleorman,Oras Zimnicea,"1-, Strada Trandafirilor 2, 145400 Zimnicea",25.3646425,43.6503079
TR-SPIT.JUD.P.N.F.ROSIORII DE VEDE,Spitalul de Pneumoftiziologie - Rosiorii de Vede,Judetul Teleorman,Municipiu Rosiori De Vede,"Strada Buzesti nr.16, 145100 Rosiori de Vede",24.9995217,44.1081345
VL-S.C. CLINICA RAPITEST SRL,RAPITEST CLINICA S.R.L.,Judetul Valcea,Municipiu Ramnicu Valcea,"Str. Olanescu Vasile 11, 240492 Ramnicu Valcea",24.3699305,45.1031169
VL-SPITALUL DE PNEUMOFTIZIOLOGIE C. ANASTASATU - MIHAESTI,Spitalul de Pneumoftiziologie Constantin Anastasatu,Judetul Valcea,Comuna Mihaesti,247375 Mihaesti,24.2378137,45.0228271
VL-SPITALUL DE PSIHIATRIE DRAGOESTI,Spitalul de Psihiatrie Dragoesti,Judetul Valcea,Comuna Dragoesti,"Strada Spitalului 1, Dragoesti",24.2821091,44.8318654
VL-SPITALUL JUDETEAN DE URGENTA  VALCEA,Spitalul Judetean de Urgenta Valcea,Judetul Valcea,Municipiu Ramnicu Valcea,"Calea lui Traian 201, 240284 Ramnicu Valcea",24.3629366,45.118355
"VL-SPITALUL MUNICIPAL ""COSTACHE NICOLESCU"" DRAGASANI",Spitalul Municipal Costache Nicolescu,Judetul Valcea,Municipiu Dragasani,"Strada Doctor Dumitru Bagdazar 2, 245700 Dragasani",24.2583811,44.6592899
VL-SPITALUL ORASENESC BREZOI,Spitalul Orasenesc Brezoi,Judetul Valcea,Oras Brezoi,"DN7A, 245500 Brezoi",24.2456514,45.3423503
VL-SPITALUL ORASENESC HOREZU,Spitalul Orasenesc Horezu,Judetul Valcea,Oras Horezu,"DC139 9, 245800 Horezu",23.9917508,45.1431988
VN-SPITALUL DE PSIHIATRIE CRONICI DUMBRAVENI,Spitalul de Psihiatrie Cronici Dumbraveni,Judetul Vrancea,Comuna Dumbraveni,627105 Dumbraveni,27.1065102,45.5499982
VN-SPITALUL JUDETEAN DE URGENTA SF PANTELIMON FOCSANI,Spitalul Judetean de Urgenta Sf. Pantelimon - Corp Central,Judetul Vrancea,Municipiu Focsani,"Str. Cuza Voda 50-52, Focsani",27.1930021,45.7043991
VN-SPITALUL MUNICIPAL ADJUD,Spitalul Municipal Adjud,Judetul Vrancea,Municipiu Adjud,"Str. Republicii 1H, 625100 Adjud",27.1875563,46.0920879
VN-SPITALUL N N SAVEANU VIDRA,Spitalul “NN Saveanu “ Vidra,Judetul Vrancea,Comuna Vidra,"DN2D, 627415 Vidra",26.9077648,45.9114103
VN-SPITALUL ORASENESC PANCIU,Spitalul Orasenesc Panciu,Judetul Vrancea,Oras Panciu,"Strada Nicolae Titulescu 99, 625400 Panciu",27.0864462,45.9097303
VS-SPITAL JUDETEAN DE URGENTA VASLUI,Spitalul Clinic Judetean de Urgenta Vaslui,Judetul Vaslui,Municipiu Vaslui,"Pavilionul I, Strada Stefan cel Mare 233, 730006 Vaslui",27.7358475,46.6554101
VS-SPITALUL MUNICIPAL DE ADULTI BARLAD,"Spitalul Municipal de Urgenta ""Elena Beldiman"" Barlad",Judetul Vaslui,Municipiu Barlad,"Bulevardul Republicii 300, 731054 Barlad",27.6713664,46.2351377
"VS-SPITALUL MUNICIPAL ""Dimitrie Castroian"" HUSI",Spitalul Municipal Dimitrie Castroian,Judetul Vaslui,Municipiu Husi,"Strada 1 Decembrie 1918 40, 735100 Husi",28.0505092,46.6751822
