Titlu,nume,judet,oras,adresa,longitudine,latitudine
B-SPITALUL CLINIC DE URGENTA PT COPII GRIGORE ALEXANDRESCU,"Spitalul Clinic de Urgenta pentru Copii ""Grigore Alexandrescu""",Bucuresti,Municipiul Bucuresti,"Bulevardul Iancu de Hunedoara 30-32, 011743 Bucuresti",26.0928101,44.4522787
B-SPITALUL CLINIC DE URGENTA SF IOAN,"Spitalul Clinic de Urgenta ""Sfantul Ioan"" Bucuresti",Bucuresti,Municipiul Bucuresti,"Soseaua Vitan-Barzesti 13, 042122 Bucuresti",26.1439447,44.3906774
B-SPITALUL CLINIC DE URGENTA SF. PANTELIMON,"Spitalul Clinic de Urgenta ""Sfantul Pantelimon""",Bucuresti,Municipiul Bucuresti,"Sos. Pantelimon 340 - 342, Bucuresti",26.1730302,44.4412951
B-Spitalul Clinic de Urgente Oftalmologice,Spitalul Clinic de Urgente Oftalmologice,Bucuresti,Municipiul Bucuresti,"Piata Alexandru Lahovari 1, 010464 Bucuresti",26.1001214,44.445895
B-SPITALUL CLINIC DR I CANTACUZINO,"Spitalul Clinic ""Dr. Ion Cantacuzino""",Bucuresti,Municipiul Bucuresti,"Strada Ion Movila 5-7, 030167 Bucuresti",26.1098911,44.4448177
B-SPITALUL CLINIC FILANTROPIA,Spitalul Clinic de Obstetrica si Ginecologie Filantropia,Bucuresti,Municipiul Bucuresti,"Bulevardul Ion Mihalache 11- 13, 011132 Bucuresti",26.0822911,44.4531506
"B-SPITALUL CLINIC ""NICOLAE MALAXA"" BUCURESTI",Spitalul Clinic Nicolae Malaxa,Bucuresti,Municipiul Bucuresti,"Sos. Vergului 12, 022441 Bucuresti",26.1787433,44.4383968
B-SPITALUL CL OG DR P SARBU,Maternitatea Giulesti,Bucuresti,Municipiul Bucuresti,"Strada Boisoara, 060251 Bucuresti",26.060202,44.449871
B-SPITALUL CL PROF DR T BURGHELE,"Spitalul Clinic ""Prof. Dr. Theodor Burghele""",Bucuresti,Municipiul Bucuresti,"Soseaua Panduri 20, 061344 Bucuresti",26.0729609,44.425694
B-SPITALUL CL URG CHIR PL REP SI ARSURI,"Spitalul Clinic de Urgenta Chirurgie Plastica, Reparatorie si Arsuri",Bucuresti,Municipiul Bucuresti,"Calea Grivitei 218, 010713 Bucuresti",26.0559953,44.463866
B-Spitalul de Bolnavi Cronici Si Geriatrie Sf. Luca,"Spitalul de Boli Cronice ""Sf. Luca""",Bucuresti,Municipiul Bucuresti,"Soseaua Berceni 12, 041915 Bucuresti",26.1291933,44.3840703
B-SPITALUL DE ONCOLOGIE MONZA S.R.L.,Spitalul MONZA,Bucuresti,Municipiul Bucuresti,"Strada Tony Bulandra 27, Bucuresti",26.1490997,44.4389012
B-Spitalul de Pneumoftiziologie Sf. Stefan,"Spitalul de Pneumoftiziologie ""Sf. Stefan""",Bucuresti,Municipiul Bucuresti,"Soseaua Stefan cel Mare 11, 020122 Bucuresti",26.1054184,44.4536286
